name,stars,age_in_years,releases,primary_language,repo_url,dit,loc,cbo:mean,cbo:median,cbo:std,lcom*:mean,lcom*:median,lcom*:std,processed
GoogleContainerTools/jib,13584,6.63,161,Java,https://github.com/GoogleContainerTools/jib,5.0,35167.0,6.984375,4.0,7.4426622769319515,0.31491171659646533,0.33333334,0.3236031302198833,True
Curzibn/Luban,13550,8.13,6,Java,https://github.com/Curzibn/Luban,2.0,1088.0,2.9655172413793105,1.0,4.730551900591039,0.21244554448275862,0.0,0.340463018000282,True
quarkusio/quarkus,13537,6.18,331,Java,https://github.com/quarkusio/quarkus,21.0,811296.0,5.122756537064346,4.0,6.256440143285795,0.22619390407927442,0.0,0.34073011578199003,True
lgvalle/Material-Animations,13530,9.51,0,Java,https://github.com/lgvalle/Material-Animations,3.0,1010.0,4.4,2.0,4.013311184877976,0.159620808,0.0,0.2967614281528669,True
seaswalker/spring-analysis,13508,8.0,0,Java,https://github.com/seaswalker/spring-analysis,4.0,378.0,2.4242424242424243,2.0,2.605708221418868,0.09494949606060606,0.0,0.21061287239390547,True
tink-crypto/tink,13469,10.27,21,Java,https://github.com/tink-crypto/tink,41.0,82161.0,7.391808873720136,5.0,6.9508808932494075,0.33768718668814257,0.21428572,0.36123164763077314,True
JessYanCoding/AndroidAutoSize,13454,6.07,14,Java,https://github.com/JessYanCoding/AndroidAutoSize,2.0,1720.0,5.408163265306122,4.0,4.193865137277422,0.13037404081632653,0.0,0.28881585758897327,True
Bigkoo/Android-PickerView,13438,9.7,0,Java,https://github.com/Bigkoo/Android-PickerView,2.0,4421.0,3.7252747252747254,2.0,5.029726871019291,0.13223407725274725,0.0,0.27913407573162297,True
Netflix/zuul,13421,11.5,9,Java,https://github.com/Netflix/zuul,10.0,20913.0,6.311475409836065,4.0,7.296509346450394,0.2506564042364017,0.0,0.32904177798309975,True
apache/druid,13388,11.88,60,Java,https://github.com/apache/druid,165.0,724536.0,7.639739690174719,5.0,9.102010028728035,0.2615995832589482,0.0,0.3227806450467766,True
pinpoint-apm/pinpoint,13361,9.89,58,Java,https://github.com/pinpoint-apm/pinpoint,20.0,364561.0,5.14439416792358,4.0,5.5249027161218445,0.24152263358031087,0.0,0.316136421158823,True
LuckSiege/PictureSelector,13234,7.68,116,Java,https://github.com/LuckSiege/PictureSelector,9.0,39103.0,5.112618724559023,2.0,8.613016926596115,0.18151661089986093,0.0,0.3282837699813964,True
